city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,comfort_index,recommended_activity,tourism_season,tourist_season_match
Новосибирск,0,-5,74,772,5.0,пасмурно,10000,,100,0,0,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Сибирский федеральный округ,-5.3,домашний отдых,май-август,нет
Москва,12,12,82,767,0.42,пасмурно,10000,,100,12,12,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Центральный федеральный округ,-1.64,домашний отдых,май-август,нет
Казань,12,11,52,768,2.21,небольшая облачность,10000,,13,12,12,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Приволжский федеральный округ,12.88,культурный туризм,май-август,нет
Москва,12,12,84,767,0.39,пасмурно,10000,,100,12,12,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Центральный федеральный округ,-2.04,домашний отдых,май-август,нет
Казань,13,12,51,768,2.21,небольшая облачность,10000,,13,13,13,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Приволжский федеральный округ,13.48,культурный туризм,май-август,нет
Москва,13,12,76,767,0.42,пасмурно,10000,,100,11,13,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Центральный федеральный округ,-0.04,домашний отдых,май-август,нет
Санкт-Петербург,15,14,71,765,1.0,ясно,10000,,0,15,15,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Северо-Западный федеральный округ,11.7,культурный туризм,май-август,нет
Санкт-Петербург,11,10,80,765,1.85,пасмурно,10000,,87,11,11,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Северо-Западный федеральный округ,-0.48,домашний отдых,май-август,нет
Новосибирск,-1,-4,80,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Сибирский федеральный округ,-6.6,домашний отдых,май-август,нет
Санкт-Петербург,14,13,64,765,2.16,облачно с прояснениями,10000,,63,14,14,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Северо-Западный федеральный округ,6.28,домашний отдых,май-август,нет
Сочи,23,23,66,757,0.93,ясно,10000,,0,23,23,07.10.2025 13:42:55,2025-10-07T13:42:55.037063,Южный федеральный округ,15.91,активный туризм,май-август,нет
Сочи,23,23,62,757,1.64,ясно,10000,,0,23,23,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Южный федеральный округ,16.64,активный туризм,май-август,нет
Сочи,23,23,66,757,0.93,ясно,10000,,0,23,23,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Южный федеральный округ,15.91,активный туризм,май-август,нет
Казань,16,15,35,768,3.64,облачно с прояснениями,10000,,62,16,16,07.10.2025 11:46:03,2025-10-07T11:46:03.479928,Приволжский федеральный округ,12.84,культурный туризм,май-август,нет
Казань,15,14,49,768,2.21,небольшая облачность,10000,,13,15,15,07.10.2025 13:42:55,2025-10-07T13:42:55.037063,Приволжский федеральный округ,14.68,культурный туризм,май-август,нет
Сочи,22,22,63,757,1.3,ясно,10000,,0,22,22,07.10.2025 13:23:50,2025-10-07T13:23:50.219919,Южный федеральный округ,16.07,активный туризм,май-август,нет
Санкт-Петербург,14,14,74,767,2.0,переменная облачность,10000,,40,14,15,07.10.2025 11:46:03,2025-10-07T11:46:03.479928,Северо-Западный федеральный округ,6.6,домашний отдых,май-август,нет
Новосибирск,0,-4,80,773,3.0,пасмурно,10000,,100,0,0,07.10.2025 11:46:03,2025-10-07T11:46:03.479928,Сибирский федеральный округ,-6.3,домашний отдых,май-август,нет
Новосибирск,-1,-4,84,773,2.36,пасмурно,10000,,100,-1,-1,07.10.2025 13:04:03,2025-10-07T13:04:03.445312,Сибирский федеральный округ,-7.44,домашний отдых,май-август,нет
Санкт-Петербург,15,14,71,767,1.0,ясно,10000,,0,15,15,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Северо-Западный федеральный округ,11.7,культурный туризм,май-август,нет
Казань,11,10,44,767,3.11,пасмурно,10000,,100,11,11,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Приволжский федеральный округ,5.29,домашний отдых,май-август,нет
Казань,15,14,49,768,2.21,небольшая облачность,10000,,13,15,15,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Приволжский федеральный округ,14.68,культурный туризм,май-август,нет
Москва,13,12,75,767,0.39,пасмурно,10000,,100,11,13,07.10.2025 13:42:55,2025-10-07T13:42:55.037063,Центральный федеральный округ,0.16,домашний отдых,май-август,нет
Сочи,23,23,62,757,1.64,ясно,10000,,0,23,23,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Южный федеральный округ,16.64,активный туризм,май-август,нет
Новосибирск,0,-4,80,773,3.0,пасмурно,10000,,100,0,0,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Сибирский федеральный округ,-6.3,домашний отдых,май-август,нет
Новосибирск,-1,-4,85,773,2.62,пасмурно,10000,,100,-1,-1,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Сибирский федеральный округ,-7.66,домашний отдых,май-август,нет
Новосибирск,-1,-4,83,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Сибирский федеральный округ,-7.2,домашний отдых,май-август,нет
Москва,13,12,75,767,0.39,пасмурно,10000,,100,11,13,07.10.2025 13:38:06,2025-10-07T13:38:06.811789,Центральный федеральный округ,0.16,домашний отдых,май-август,нет
Санкт-Петербург,14,13,61,767,1.28,переменная облачность,10000,,48,14,14,07.10.2025 13:04:03,2025-10-07T13:04:03.445312,Северо-Западный федеральный округ,8.47,домашний отдых,май-август,нет
Санкт-Петербург,11,10,68,767,0.92,переменная облачность,10000,,48,11,11,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Северо-Западный федеральный округ,5.91,домашний отдых,май-август,нет
Новосибирск,-1,-4,80,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 13:42:55,2025-10-07T13:42:55.037063,Сибирский федеральный округ,-6.6,домашний отдых,май-август,нет
Москва,13,12,76,767,0.39,пасмурно,10000,,100,11,13,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Центральный федеральный округ,-0.04,домашний отдых,май-август,нет
Москва,11,10,88,766,1.04,пасмурно,10000,,100,11,11,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Центральный федеральный округ,-3.3,домашний отдых,май-август,нет
Москва,11,11,81,766,1.04,пасмурно,10000,,100,10,12,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Центральный федеральный округ,-1.9,домашний отдых,май-август,нет
Казань,14,13,43,767,2.05,ясно,10000,,10,14,14,07.10.2025 13:23:50,2025-10-07T13:23:50.219919,Приволжский федеральный округ,15.8,активный туризм,май-август,нет
Новосибирск,0,-4,76,772,3.77,пасмурно,10000,,100,0,0,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Сибирский федеральный округ,-5.58,домашний отдых,май-август,нет
Новосибирск,-1,-4,86,774,2.0,пасмурно,10000,,100,-1,-1,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Сибирский федеральный округ,-7.8,домашний отдых,май-август,нет
Казань,14,13,38,768,2.05,ясно,10000,,10,14,14,07.10.2025 13:04:03,2025-10-07T13:04:03.445312,Приволжский федеральный округ,16.8,активный туризм,май-август,нет
Санкт-Петербург,15,15,74,765,1.0,переменная облачность,10000,,40,15,16,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Северо-Западный федеральный округ,7.1,домашний отдых,май-август,нет
Санкт-Петербург,12,12,82,765,1.0,ясно,10000,,0,11,12,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Северо-Западный федеральный округ,8.3,домашний отдых,май-август,нет
Казань,16,14,34,767,3.64,облачно с прояснениями,10000,,62,16,16,07.10.2025 12:24:41,2025-10-07T12:24:41.243096,Приволжский федеральный округ,13.04,культурный туризм,май-август,нет
Сочи,23,23,61,758,1.64,ясно,10000,,0,23,23,07.10.2025 11:46:03,2025-10-07T11:46:03.479928,Южный федеральный округ,16.84,активный туризм,май-август,нет
Сочи,22,22,59,758,0.92,ясно,10000,,0,22,22,07.10.2025 07:22:41,2025-10-07T07:22:41.695580,Южный федеральный округ,16.91,активный туризм,май-август,нет
Москва,12,11,81,767,0.22,пасмурно,10000,,100,12,12,07.10.2025 13:23:50,2025-10-07T13:23:50.219919,Центральный федеральный округ,-1.42,домашний отдых,май-август,нет
Сочи,22,22,56,758,1.08,ясно,10000,,0,22,22,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Южный федеральный округ,17.49,активный туризм,май-август,нет
Санкт-Петербург,12,11,66,765,1.28,переменная облачность,10000,,48,12,12,07.10.2025 13:23:50,2025-10-07T13:23:50.219919,Северо-Западный федеральный округ,6.67,домашний отдых,май-август,нет
Сочи,23,23,65,756,0.93,ясно,10000,,0,23,23,07.10.2025 14:09:20,2025-10-07T14:09:20.695695,Южный федеральный округ,16.11,активный туризм,май-август,нет
Казань,16,15,38,767,3.64,облачно с прояснениями,10000,,62,16,16,07.10.2025 12:06:15,2025-10-07T12:06:15.021646,Приволжский федеральный округ,12.24,культурный туризм,май-август,нет
Казань,15,13,41,768,3.23,пасмурно,10000,,100,15,15,07.10.2025 07:30:55,2025-10-07T07:30:55.629433,Приволжский федеральный округ,7.48,домашний отдых,май-август,нет
Санкт-Петербург,15,14,71,767,1.0,ясно,10000,,0,15,15,07.10.2025 13:42:55,2025-10-07T13:42:55.037063,Северо-Западный федеральный округ,11.7,культурный туризм,май-август,нет
Новосибирск,-1,-4,84,773,2.36,пасмурно,10000,,100,-1,-1,07.10.2025 13:23:50,2025-10-07T13:23:50.219919,Сибирский федеральный округ,-7.44,домашний отдых,май-август,нет
Москва,12,11,84,767,0.22,пасмурно,10000,,100,12,12,07.10.2025 13:04:03,2025-10-07T13:04:03.445312,Центральный федеральный округ,-2.02,домашний отдых,май-август,нет
Сочи,21,21,66,757,0.93,ясно,10000,,0,21,21,07.10.2025 13:59:55,2025-10-07T13:59:55.241161,Южный федеральный округ,15.11,активный туризм,май-август,нет
Москва,13,12,76,767,0.42,пасмурно,10000,,100,12,13,07.10.2025 11:46:03,2025-10-07T11:46:03.479928,Центральный федеральный округ,-0.04,домашний отдых,май-август,нет
Сочи,22,22,63,757,1.3,ясно,10000,,0,22,22,07.10.2025 13:04:03,2025-10-07T13:04:03.445312,Южный федеральный округ,16.07,активный туризм,май-август,нет
